MSC2401.1205,M,240,1.83,0,31/12/2026,31/12/2026
MSC2401.1206,M,1680,2.45,0,31/12/2026,31/12/2026
MSC2401.1207,M,270,3.06,0,31/12/2026,31/12/2026
MSC2401.1208,M,1860,3.64,0,31/12/2026,31/12/2026
MSC2401.1209,M,5100,4.9,0,31/12/2026,31/12/2026
MSC2401.1210,M,240,6.16,0,31/12/2026,31/12/2026
MSC2401.1211,M,480,7.41,0,31/12/2026,31/12/2026
MSC2401.1411,M,780,9.83,0,31/12/2026,31/12/2026
MSC2401.1212,M,240,9.93,0,31/12/2026,31/12/2026
MSC2401.1412,M,540,13.18,0,31/12/2026,31/12/2026
MSC2401.1413,M,90,16.54,0,31/12/2026,31/12/2026
MSC2401.1414,M,210,19.89,0,31/12/2026,31/12/2026
MSC2401.1406,M,120,3,0,31/12/2026,31/12/2026
MSC2401.1408,M,180,4.62,0,31/12/2026,31/12/2026
MSC2401.1409,M,180,6.24,0,31/12/2026,31/12/2026
MSC2401.1211,M,270,7.41,0,31/12/2026,31/12/2026
MSC2401.1212,M,240,9.93,0,31/12/2026,31/12/2026
