MSC2401.1205,M,120,1.83,0,31/12/2026,31/12/2026
MSC2401.1206,M,1200,2.45,0,31/12/2026,31/12/2026
MSC2401.1207,M,270,3.06,0,31/12/2026,31/12/2026
MSC2401.1208,M,1800,3.64,0,31/12/2026,31/12/2026
MSC2401.1209,M,3120,4.9,0,31/12/2026,31/12/2026
MSC2401.1210,M,180,6.16,0,31/12/2026,31/12/2026
MSC2401.1211,M,360,7.41,0,31/12/2026,31/12/2026
MSC2401.1411,M,600,9.83,0,31/12/2026,31/12/2026
MSC2401.1212,M,180,9.93,0,31/12/2026,31/12/2026
MSC2401.1412,M,180,13.18,0,31/12/2026,31/12/2026
MSC2401.1413,M,90,16.54,0,31/12/2026,31/12/2026
MSC2401.1414,M,180,19.89,0,31/12/2026,31/12/2026
MSC2401.1406,M,120,3,0,31/12/2026,31/12/2026
MSC2401.1408,M,180,4.62,0,31/12/2026,31/12/2026
MSC2401.1409,M,180,6.24,0,31/12/2026,31/12/2026
MSC2401.1211,M,210,7.41,0,31/12/2026,31/12/2026
MSC2401.1212,M,210,9.93,0,31/12/2026,31/12/2026
MSC2401.3406,M,90,6.04,0,31/12/2026,31/12/2026
MSC2401.3408,M,90,9.3,0,31/12/2026,31/12/2026
MSC2401.3409,M,90,12.56,0,31/12/2026,31/12/2026
MSC2401.3205,M,300,3.48,0,31/12/2026,31/12/2026
MSC2401.3206,M,210,4.7,0,31/12/2026,31/12/2026
MSC2401.3208,M,552,7.06,0,31/12/2026,31/12/2026
MSC2401.3209,M,882,9.51,0,31/12/2026,31/12/2026
MSC2401.3210,M,150,11.95,0,31/12/2026,31/12/2026
MSC2401.3411,M,210,19.08,0,31/12/2026,31/12/2026
MSC2401.3412,M,210,25.64,0,31/12/2026,31/12/2026
MSC2401.3414,M,204,38.7,0,31/12/2026,31/12/2026
MSC2401.3306,M,240,5,0,31/12/2026,31/12/2026
MSC2401.3308,M,240,7.65,0,31/12/2026,31/12/2026
MSC2401.3309,M,240,10.31,0,31/12/2026,31/12/2026
MSC2405.1105,M,210,2.35,0,31/12/2026,31/12/2026
MSC2405.1106,M,210,2.75,0,31/12/2026,31/12/2026
MSC2405.1111,M,210,3.14,0,31/12/2026,31/12/2026
MSC2405.1201,M,624,1.4,0,31/12/2026,31/12/2026
MSC2405.1202,M,396,1.9,0,31/12/2026,31/12/2026
MSC2405.1205,M,504,2.91,0,31/12/2026,31/12/2026
MSC2405.1206,M,300,3.41,0,31/12/2026,31/12/2026
MSC2405.1211,M,396,3.91,0,31/12/2026,31/12/2026
MSC2405.1216,M,210,4.92,0,31/12/2026,31/12/2026
MSC2405.1220,M,120,7.43,0,31/12/2026,31/12/2026
MSC2405.1416,M,300,6.51,0,31/12/2026,31/12/2026
MSC2405.1420,M,210,9.86,0,31/12/2026,31/12/2026
MSC2405.1212,M,210,4.41,0,31/12/2026,31/12/2026
MSC2405.1111,M,210,3.14,0,31/12/2026,31/12/2026
MSC2404.1203,M,1572,1.9,0,31/12/2026,31/12/2026
MSC2404.1205,M,1572,2.91,0,31/12/2026,31/12/2026
MSC2404.1207,M,3204,3.91,0,31/12/2026,31/12/2026
MSC2404.1208,M,1572,4.92,0,31/12/2026,31/12/2026
MSC2404.1407,M,300,5.17,0,31/12/2026,31/12/2026
MSC2404.1103,M,300,1.54,0,31/12/2026,31/12/2026
MSC2404.1105,M,300,2.35,0,31/12/2026,31/12/2026
MSC2404.1107,M,300,3.14,0,31/12/2026,31/12/2026
MSC2404.1108,M,210,3.95,0,31/12/2026,31/12/2026
MSC2404.1412,M,210,13.21,0,31/12/2026,31/12/2026
MSC2404.1209,M,360,5.93,0,31/12/2026,31/12/2026
MSC2404.1408,M,300,6.51,0,31/12/2026,31/12/2026
MSC2404.1409,M,360,7.85,0,31/12/2026,31/12/2026
MSC2404.1411,M,300,10.52,0,31/12/2026,31/12/2026
MSC2408.1204,M,300,1.03,0,31/12/2026,31/12/2026
