MSC2403.1103,M,990,0.73,0,31/12/2026,31/12/2026
MSC2403.1104,M,2952,0.89,0,31/12/2026,31/12/2026
MSC2403.1196,M,570,1.14,0,31/12/2026,31/12/2026
MSC2403.1105,M,1896,1.36,0,31/12/2026,31/12/2026
MSC2403.1195,M,402,1.6,0,31/12/2026,31/12/2026
MSC2403.1106,M,3930,1.84,0,31/12/2026,31/12/2026
MSC2403.1107,M,1104,2.33,0,31/12/2026,31/12/2026
MSC2403.1108,M,5700,2.81,0,31/12/2026,31/12/2026
MSC2403.1109,M,5700,3.77,0,31/12/2026,31/12/2026
MSC2403.1203,M,810,0.88,0,31/12/2026,31/12/2026
MSC2403.1204,M,4800,1.06,0,31/12/2026,31/12/2026
MSC2403.1296,M,468,1.36,0,31/12/2026,31/12/2026
MSC2403.1205,M,7200,1.63,0,31/12/2026,31/12/2026
MSC2403.1295,M,324,1.93,0,31/12/2026,31/12/2026
MSC2403.1206,M,5700,2.22,0,31/12/2026,31/12/2026
MSC2403.1207,M,1800,2.81,0,31/12/2026,31/12/2026
MSC2403.1208,M,10500,3.4,0,31/12/2026,31/12/2026
MSC2403.1209,M,14640,4.57,0,31/12/2026,31/12/2026
MSC2403.1210,M,864,5.74,0,31/12/2026,31/12/2026
MSC2403.1211,M,4640,6.92,0,31/12/2026,31/12/2026
MSC2403.1212,M,3300,9.27,0,31/12/2026,31/12/2026
MSC2403.1413,M,120,18.19,0,31/12/2026,31/12/2026
MSC2403.1414,M,120,21.89,0,31/12/2026,31/12/2026
MSC2403.1415,M,120,29.28,0,31/12/2026,31/12/2026
MSC2401.1205,M,210,2.39,0,31/12/2026,31/12/2026
MSC2401.1206,M,1500,3.25,0,31/12/2026,31/12/2026
MSC2401.1207,M,270,4.12,0,31/12/2026,31/12/2026
MSC2401.1208,M,1860,4.98,0,31/12/2026,31/12/2026
MSC2401.1209,M,4800,6.71,0,31/12/2026,31/12/2026
MSC2401.1210,M,210,8.44,0,31/12/2026,31/12/2026
MSC2401.1211,M,750,10.17,0,31/12/2026,31/12/2026
MSC2401.1411,M,780,13.47,0,31/12/2026,31/12/2026
MSC2401.1212,M,450,13.63,0,31/12/2026,31/12/2026
MSC2401.1412,M,510,18.08,0,31/12/2026,31/12/2026
MSC2401.1413,M,90,24.52,0,31/12/2026,31/12/2026
MSC2401.1414,M,210,29.5,0,31/12/2026,31/12/2026
MSC2401.1406,M,120,4.21,0,31/12/2026,31/12/2026
MSC2401.1408,M,180,6.49,0,31/12/2026,31/12/2026
MSC2401.1409,M,180,8.76,0,31/12/2026,31/12/2026
MSC2401.1204,M,210,1.55,0,31/12/2026,31/12/2026
